"Name","Type","NameNiederlassung","Street","Postcode","City","State","Wheelchair"
"Deutsche Bank","amenity=bank","Mönchengladbach-Rheydt","Odenkirchener Straße 43","41236","Mönchengladbach","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Minden","Domstraße 2","32423","Minden","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Mittweida","Markt 21-23","9648","Mittweida","Sachsen / Saxony","no"
"Deutsche Bank","amenity=bank","Mölln","Hauptstraße 33","23879","Mölln","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Moers","Neuer Wall 12","47441","Moers","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Nürnberg-Ostendstraße","Ostendstraße 230","90482","Nürnberg","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","Nürnberg-Röthenbach/Schweinau","Dombühler Straße 2","90449","Nürnberg","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","Oberhausen","Paul-Reusch-Straße 43","46045","Oberhausen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Oberhausen-Sterkrade","Steinbrinkstraße 222a","46145","Oberhausen","Nordrhein-Westfalen / North Rhine-Westphalia","no"
"Deutsche Bank","amenity=bank","Oberursel","Kumeliusstraße 6-8","61440","Oberursel","Hessen","no"
"Deutsche Bank","amenity=bank","Öhringen","Bismarckstraße 22","74613","Öhringen","Baden-Württemberg / Baden-Wuerttemberg","no"
"Deutsche Bank","amenity=bank","Offenbach","Kaiserstraße 66-68","63065","Offenbach","Hessen","yes"
"Deutsche Bank","amenity=bank","Offenburg","Hauptstraße 42","77652","Offenburg","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Oldenburg","Staugraben 10","26122","Oldenburg","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Monheim","Rathausplatz 2a","40789","Monheim am Rhein","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Mühlhausen","Untermarkt 27","99974","Mühlhausen","Thüringen / Thuringia","yes"
"Deutsche Bank","amenity=bank","Mülheim (Ruhr)","Wallstraße 6","45468","Mülheim (Ruhr)","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","München-Arabellapark","Arabellastraße 11","81925","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Boschetsrieder Straße","Boschetsrieder Straße 118","81379","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Großhadern","Sauerbruchstraße 10","81377","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Kurfürstenplatz","Hohenzollernstraße 49","80801","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Laim","Agnes-Bernauer-Straße 69b","80687","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Marienplatz","Marienplatz 21","80331","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Maximilianstraße","Maximilianstraße 26","80539","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Max-Weber-Platz","Max-Weber-Platz 11","81675","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Olympia-Einkaufszentrum","Riesstraße 59","80993","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Ost","Kreillerstraße 64","81673","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Pasing","Bäckerstraße 10","81241","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Prinzregentenstraße","Prinzregentenstraße 70","81675","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Promenadeplatz","Promenadeplatz 15","80333","München","Bayern / Bavaria","yes"
