FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288137,288137,POINT (16.349716564962275 48.1807602023042),5,Eichenstr. / Fendig. (Abgang zur Straßenbahn),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288138,288138,POINT (16.388175521852077 48.15655649334741),10,Volkspark Laaerberg (nähe Freilufttheater),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288139,288139,POINT (16.358497345751864 48.222873927380846),9,Liechtensteinpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288140,288140,POINT (16.33841335993129 48.177634927961975),12,Aßmayergasse / Karl-Löwe-Gasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288141,288141,POINT (16.386613648728474 48.172678636152554),10,Puchsbaumplatz ggü 10,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288142,288142,POINT (16.228414012014564 48.20726926258126),14,Hauptstraße/bei der Kirche Mariabrunn,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288143,288143,POINT (16.294749096772 48.21519941396266),16,Funkengerngasse/Gallitzinstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288144,288144,POINT (16.314740021531833 48.1881922991922),15,Auer Welsbach Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288145,288145,POINT (16.33324211490534 48.21378060781668),16,Huberpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288146,288146,POINT (16.388742856210655 48.21381243645907),2,Robertstiege (Stiegenanlage unten beim Donaukanal,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288147,288147,POINT (16.330693599243666 48.223142200020774),17,Diepoldplatz ,ggü 2,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288148,288148,POINT (16.329444933810738 48.23897861602587),19,Döblinger Friedh./ Hartäckerstraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288149,288149,POINT (16.27743162312134 48.240736948995306),17,Schwarzenbergpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288150,288150,POINT (16.324797585028186 48.233915040462335),18,Bischof Faber Platz,ggü 9,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288151,288151,POINT (16.313012990957418 48.25081889864294),19,Hackenberg (Lagerwiese),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288152,288152,POINT (16.341229626757123 48.24281184703899),19,Sonnberplatz ggü.6,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288153,288153,POINT (16.36181499876001 48.25968503370381),19,Zahnradbahnstr.(Endstelle Linie D),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288154,288154,POINT (16.348723893904932 48.194946815427556),6,Loquaiplatz/ggü Königseggasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288155,288155,POINT (16.38023211038023 48.228192617786306),2,Rabbiner-Schneerson-Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288156,288156,POINT (16.393720839693753 48.207552570187424),3,Kegelgasse / Löwengasse (Hundertwasserhaus),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288157,288157,POINT (16.347795347143773 48.18727572910049),5,Am Hundsturm,ggü. 10,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288158,288158,POINT (16.4181811239621 48.24068563254264),22,"WIG 64 (Donaupark, Eingang D, Parkplatz)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288159,288159,POINT (16.361397801562326 48.189979411236166),5,Mittersteig (Parkanlage),24 - 28,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288160,288160,POINT (16.28231134766869 48.16841920117311),13,Wolkersbergenstr./Jakob Stainer G.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288161,288161,POINT (16.397635021330185 48.257912459774374),21,Am Spitz (Amtshaus),1,+43 (1) 546 48,MO-FR: 10-18Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288162,288162,POINT (16.360393748428354 48.210963049891696),1,Rathauspark/Ring,,+43 (1) 546 48,Mo-SO:10-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288163,288163,POINT (16.362682649114834 48.21392261754529),1,U2 Schottentor,,+43 (1) 546 48,"Mo-Fr: 6-20 Uhr
Sa: 6-19 Uhr
So: 9-19 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288164,288164,POINT (16.448280614546732 48.152245807038256),11,Zentralfriedhof/ Tor 3,,+43 (1) 546 48,MO-SO: 8-18 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288165,288165,POINT (16.401861338235964 48.26134443839813),21,Floridsdorfer Markt / Pitkagasse,,+43 (1) 546 48,"MO-DO: 7-15 Uhr
FR: 7-18 Uhr
SA: 7-14 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288166,288166,POINT (16.349954465007357 48.198136289797574),6,Mariahilferstraße/Amerlingstraße,,+43 (1) 546 48,"Okt-Apr:Mo-Sa: 9-20 So:10-17 Uhr
Mai-Sep:Mo-Sa:10-21 So:10-17 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288167,288167,POINT (16.337044083259226 48.27609409680688),19,Kahlenberg(Parkpl. unter Bushaltestelle),,+43 (1) 546 48,"Mai-Sept. MO-SO: 10:00-20:00
Okt-Apr
Mo-So: 0-24 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288168,288168,POINT (16.402723228885115 48.21615130760313),2,Perspektivstraße (Messeparkplatz),,+43 (1) 546 48,"Mai-Sept.: 
MO-SO: 9-18 Uhr
Okt-Apr:
Mo-So: 0-24 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288169,288169,POINT (16.367628468705274 48.210366634873296),1,Irisgasse,,+43 (1) 546 48,"Jan-April+Okt-Nov:
Mo-Sa: 9-18 Uhr
Mai-Sep+Dez:
Mo-So: 9-19 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288180,288180,POINT (16.47932258236879 48.24679878264704),22,"Badeteich Hirschst. (Spargelfeldstr.,Bibernellweg)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288181,288181,POINT (16.37199878421158 48.172717563148574),10,Arthaberplatz/Laxenburger Str.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288182,288182,POINT (16.2710134432243 48.190361774761485),13,Streckerplatz,,+43 (1) 546 48,Geschlossen,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288183,288183,POINT (16.376869645515846 48.17692189944198),10,Viktor Adler Markt,,+43 (1) 546 48,MO-SA: 6-20 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288184,288184,POINT (16.398348695046106 48.14672840913453),10,WIG 74 (West),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288185,288185,POINT (16.41280239061546 48.17429490387373),11,Geiselbergstraße/Gottschalkgasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288186,288186,POINT (16.362017974108312 48.1983612941336),6,Alfred-Grünwald-Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288187,288187,POINT (16.34404386111576 48.18763498808364),5,Bruno Kreisky Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288188,288188,POINT (16.381173857197737 48.203174542757296),3,Stadtpark (ggü. Reisnerstraße),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288189,288189,POINT (16.40115032529734 48.19776992538029),3,Kardinal-Nagl-Platz / Erdbergstraße / Rüdengasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288190,288190,POINT (16.386139774524086 48.23777680048066),20,Allerheiligenplatz,16 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288191,288191,POINT (16.36965429234241 48.22594489627434),20,Gaußplatz (im Park),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288192,288192,POINT (16.42362036776664 48.226443034979646),22,Schüttauplatz/Moissigasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288193,288193,POINT (16.412033162328292 48.24285895634295),22,"WIG 64 (Donaupark, Eingang C, Tennisplatz",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288194,288194,POINT (16.337777676666626 48.20109388066178),7,Urban Loritz Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288195,288195,POINT (16.39869310395997 48.15065889288804),10,WIG 74 (Gschroppenhaus),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288196,288196,POINT (16.380434604915493 48.20688827732566),1,Parkring/Wollzeile,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288197,288197,POINT (16.359214675629403 48.21155340746628),1,Rathauspark/Felderstraße,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288198,288198,POINT (16.358459802703525 48.20981139956898),1,Rathauspark/Lichtenfelsgasse,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288199,288199,POINT (16.364288505183396 48.18316257606572),5,Kliebergasse (Abgang zur Straßenbahnlinie 18),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288200,288200,POINT (16.25689161749068 48.1664390871339),13,Hermesstr./Lainzer Tor,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288170,288170,POINT (16.363850356619743 48.19889448571193),6,Linke Wienzeile,ggü 12,+43 (1) 546 48,MO-SA: 6-22 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288171,288171,POINT (16.390693712919113 48.20294980940478),3,Rochusmarkt,,+43 (1) 546 48,"MO-FR: 6-18.30 Uhr
SA: 6-14 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288172,288172,POINT (16.36916824379187 48.20914376841394),1,Am Graben,,+43 (1) 546 48,"Jan-April+Okt-Nov:
Mo-Sa: 8-20 Uhr
So:8-17 Uhr
Mai-Sep+Dez:
Mo-Sa: 8-21 Uhr
So:8-20 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288173,288173,POINT (16.401568124083813 48.221338129701266),2,Vorgartenmarkt / Ennsgasse,,+43 (1) 546 48,Mo-Do: 8-13 Uhr +Fr-Sa: 7-13 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288174,288174,POINT (16.391909310641672 48.25600785711084),21,Floridsdorfer Aupark (Eingang ggü. Frömmlg.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288175,288175,POINT (16.3841633554641 48.270082201194555),21,Lorettoplatz / Überfuhrstr.,59 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288176,288176,POINT (16.40733280135746 48.25305310830824),21,Kinzerplatz / Scheffelstraße (historisch),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288177,288177,POINT (16.40797438425094 48.255090375648706),21,Hoßplatz,11 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288178,288178,POINT (16.42171852297027 48.23155645927116),22,Kaiserwasser (hinter Sportplatz),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288179,288179,POINT (16.435479825271816 48.23062189480606),22,Rehlacke/Lagerwiesenweg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288201,288201,POINT (16.42098289921918 48.23067327593677),22,SV Donau/ Kaiserwasser,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288202,288202,POINT (16.394591654872727 48.25306317858928),21,Wasserpark/A.d.ob.alten Donau,1 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288203,288203,POINT (16.274763192445025 48.18077433562493),13,Roter Berg/Heinz Nittel Weg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288204,288204,POINT (16.336448498998156 48.275350643239165),19,Am Kahlenberg bei Kirche,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288205,288205,POINT (16.401646429127073 48.15132874578907),10,WIG 74 (Eingang Nord),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288206,288206,POINT (16.31024116542187 48.241391723939365),18,Pötzleinsdorfer Str./Endstelle 41,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288207,288207,POINT (16.401455960715253 48.14712671288949),10,WIG 74 (Mitte),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288208,288208,POINT (16.404910541277832 48.20658151658313),2,Jesuitenwiese ( Mitte Rotundenallee),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288209,288209,POINT (16.275344623754382 48.197307766567356),14,Baumgartner Casino/Linzerstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288210,288210,POINT (16.267728414410147 48.205693462900776),14,Dehnepark/Dehnegasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288211,288211,POINT (16.363260429223054 48.23075575264569),20,Brigittenauer Lände (ggü. Gerhardusg.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288212,288212,POINT (16.269300375369536 48.1512912769658),23,Mauer Rathauspark / Speisingerstraße,ggü 262,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288213,288213,POINT (16.41064744622675 48.171759151580474),11,Herder Park,ggü 5,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288214,288214,POINT (16.41121101035691 48.18168371891339),11,Hybler Park/Pachmayergasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288215,288215,POINT (16.33358938687711 48.20920929657068),16,Hofferplatz/Thaliastraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288216,288216,POINT (16.308924187596098 48.21285285415254),16,Stillfriedplatz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288217,288217,POINT (16.3357917150809 48.213298994706236),16,Yppenplatz/Markt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288218,288218,POINT (16.33462070664864 48.22146333887699),17,Dornerplatz,ggü 9,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288219,288219,POINT (16.336732513313855 48.22359948975178),18,Johann Nepomuk Vogel Platz/Markt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288220,288220,POINT (16.321194550835667 48.26406399804724),19,Am Cobenzl,,+43 (1) 546 48,April-Sept. Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288221,288221,POINT (16.35559814408962 48.20652567990226),7,Weghuberpark/Museumstraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288222,288222,POINT (16.347931789385942 48.19875292799694),7,Andreaspark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288223,288223,POINT (16.3344748491606 48.20572583151942),16,Ludo Hartmann Platz/Brunneng.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288224,288224,POINT (16.341075358545556 48.207431262097856),7,Josef Strauß Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288225,288225,POINT (16.352370240345994 48.22944575054921),9,Helene-Deutsch-Park,,+43 (1) 546 48,Mo-So: 7-20 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288226,288226,POINT (16.244663428808906 48.204469333827824),14,Hütteldorfer Frdh./Bierhäuselbergg.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
