FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288258,288258,POINT (16.31961167662676 48.22501114071009),17,Leopold Kunschak Platz/Hernalser Friedhof,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288259,288259,POINT (16.339316518654517 48.227060351310406),18,Schubertpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288260,288260,POINT (16.36735362828523 48.257776025431895),19,Nußdorfer Markt/Sickenbergg.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288261,288261,POINT (16.36746665933311 48.260346653463316),19,Nußdorfer Platz/Heiligenstädterstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288262,288262,POINT (16.3213148671501 48.251980966783286),19,Sieveringer Straße ggü 177,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288274,288274,POINT (16.351047170413402 48.21189655736051),8,Florianigasse ( Schönbornpark ),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288275,288275,POINT (16.33754205536594 48.233978389485586),18,Türkenschanzpark/Gregor Mendel Str./Hasenauerstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288276,288276,POINT (16.379560249745325 48.24431076291839),20,Fr. Engels Platz (Haltestelle 31 und 33),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288277,288277,POINT (16.32346721628031 48.224116296143684),17,Lidlpark/Roggendorfgasse,ggü 5,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288278,288278,POINT (16.344801089083187 48.22521157692139),18,Kutschkermarkt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288279,288279,POINT (16.333674282657125 48.234276542047304),18,Türkenschanzpark/Kinderspielplatz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288280,288280,POINT (16.37741010864281 48.21744334091108),2,Karmelitermarkt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288281,288281,POINT (16.382759327671963 48.19966857176429),3,Am Modenapark,ggü. 4,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
