Name	Art	Breitengrad	Längengrad	Strasse	Hausnummer	Plz	Ort	Rollstuhlgerecht	mobidat-ID	Deeplink
BURGER KING	Selbstbedienungsgaststätten	52.5103657	13.3057528	Wilmersdorfer Straße	129	10627	Charlottenburg - Wilmersdorf	teilweise	35575	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/35575/
BURGER KING	Selbstbedienungsgaststätten	52.5057605	13.3315097	Joachimstaler Straße	1 - 3	10623	Charlottenburg - Wilmersdorf	teilweise	41620	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/41620/
BURGER KING	Selbstbedienungsgaststätten	52.5271500	13.2321100	Charlottenburger Chaussee	51 - 55	13597	Spandau	teilweise	76132	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76132/
BURGER KING	Selbstbedienungsgaststätten	52.4428446	13.4343105	Buckower Damm	11	12349	Neukölln	teilweise	81762	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81762/
BURGER KING	Selbstbedienungsgaststätten	52.4673900	13.4335000	Silbersteinstraße	54	12051	Neukölln	teilweise	86781	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86781/
BURGER KING	Selbstbedienungsgaststätten	52.5129004	13.3266784	Straße des 17. Juni	100	10557	Charlottenburg - Wilmersdorf	teilweise	87210	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87210/
BURGER KING	Selbstbedienungsgaststätten	52.5467200	13.3111400	Saatwinkler Damm	61 - 64	13627	Charlottenburg - Wilmersdorf	teilweise	87353	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87353/
BURGER KING	Selbstbedienungsgaststätten	52.5407805	13.2475838	Paulsternstraße	16	13629	Spandau	teilweise	87390	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87390/
BURGER KING	Selbstbedienungsgaststätten	52.4226000	13.3124500	Ostpreußendamm	60	12207	Steglitz - Zehlendorf	teilweise	87638	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87638/
BURGER KING	Selbstbedienungsgaststätten	52.4672500	13.4334200	Hermannstraße	158a	12051	Neukölln	teilweise	87689	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87689/
BURGER KING	Selbstbedienungsgaststätten	52.4342597	13.1907031	Kronprinzessinnenweg	120	14129	Steglitz - Zehlendorf	teilweise	87841	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87841/
BURGER KING	Selbstbedienungsgaststätten	52.5049497	13.6092608	Alt-Mahlsdorf	23	12623	Marzahn - Hellersdorf	teilweise	88197	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88197/
