Name	Art	Breitengrad	Längengrad	Strasse	Hausnummer	Plz	Ort	Rollstuhlgerecht	mobidat-ID	Deeplink
"	Berliner Rathaus (Berlin)"	Haltestelle	52.51744057830046	13.40864137057542	Spandauer Straße		10178	Mitte	ja	108482	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/108482/
"	Pfefferwerk Stadtkultur gGmbH - Kita Sauseschritt"	Kindertagesstätten	52.5920500	13.4044800	Dietzgenstraße	104	13158	Pankow	teilweise	80577	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80577/
"	Presseshop in Berlin-Buch, Bruno-Apitz-Straße"	Zeitungen, Zeitschriften, Tabakwaren	52.6274100	13.4947400	Bruno-Apitz-Straße	14	13125	Pankow	ja	92354	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92354/
"	Stephanus-Stiftung Wohngemeinschaft Blechenstraße"	Betreutes Wohnen	52.5557003	13.4579000	Blechenstraße	6	13086	Pankow	ja	93458	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93458/
Änderungsschneiderei A. Gencay	Schneiderei	52.4885226	13.3582852	Hauptstraße	11	10827	Tempelhof - Schöneberg	ja	78183	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78183/
Ärztehaus  Hufeland	Ärztehäuser	52.5551100	13.5613800	Mehrower Allee	22	12687	Marzahn - Hellersdorf	teilweise	81729	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81729/
Chirurgische Kleintierpraxis Dr. Martin Köhle	Tiermedizin	52.5329500	13.1878700	Grünhofer Weg	16	13581	Spandau	teilweise	9938	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/9938/
Cramer Lutz Altmann	Möbelhäuser	52.5006100	13.3285000	Meinekestraße	11	10719	Charlottenburg - Wilmersdorf	teilweise	8548	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/8548/
Damen- und Herrenschneiderei Kaya, Ihre Boutique	Schneiderei	52.4180500	13.4370900	Buckower Damm	290	12349	Neukölln	ja	55456	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/55456/
Dr. med.  Wolfgang  Möller	Neurologie	52.5301600	13.4617900	Oderbruchstraße	10	10369	Lichtenberg	teilweise	13899	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/13899/
Dr. med. Christian von Wissmann	Innere Medizin	52.4324229	13.3358586	Elisabethstraße	31	12247	Steglitz - Zehlendorf	teilweise	2083	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/2083/
Dr. med. dent. Jan B. Schibenes	Zahnheilkunde	52.5301124	13.4612040	Oderbruchstraße	12	10369	Lichtenberg	teilweise	7662	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/7662/
Dr. med. dent. Sigrid Gerlach, Dr. med. dent. S. Gerlach	Zahnheilkunde	52.4681529	13.3260317	Büsingstraße	15	12161	Tempelhof - Schöneberg	teilweise	6865	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/6865/
Dr. med. dent. Ulrich Wegener 	Zahnheilkunde	52.5301124	13.4612040	Oderbruchstraße	12	10369	Lichtenberg	teilweise	7661	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/7661/
Einkaufscenter Pico	Center und Einkaufsparks	52.5304758	13.6213912	Riesaer  Straße	102	12627	Marzahn - Hellersdorf	teilweise	82039	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82039/
Friedhof Baumschulenweg	Friedhöfe	52.4604610	13.4933780	Kiefholzstraße	221	12437	Treptow - Köpenick	teilweise	35221	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/35221/
Friedhof Hessenwinkel	Friedhöfe	52.4264047	13.7150748	Biberpelzstraße	29 - 33	12589	Treptow - Köpenick	ja	88333	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88333/
Friedhofsamt-Büro	Friedhöfe	52.4376500	13.6959800	Fürstenwalder Allee	93	12589	Treptow - Köpenick	teilweise	88337	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88337/
FRISEUR Dana Altmann	Friseure	52.5144351	13.6110611	Ridbacher Straße	5	12623	Marzahn - Hellersdorf	teilweise	84223	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84223/
Gemeinde Haus der Kirche Alt-Lietzow	Gemeindehäuser	52.5178900	13.3127300	Alt-Lietzow	30	10587	Charlottenburg - Wilmersdorf	teilweise	78200	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78200/
Hörgeräte Kramer & Reuter OHG , GANZ OHR	Hörgeräteakustiker	52.4235500	13.4632000	Lipschitzallee	69	12353	Neukölln	ja	46654	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/46654/
Heinemann 	Möbelhäuser	52.4999620	13.3262614	Lietzenburger Straße	69 - 71	10719	Charlottenburg - Wilmersdorf	teilweise	6399	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/6399/
Jugend- & Freizeithaus UNO 	Jugendclubs und Jugendzentren	52.5724326	13.5682378	Märkische Allee	414	12689	Marzahn - Hellersdorf	teilweise	98616	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/98616/
Kids & Co. - Ausbildungsrestaurant  Ariane 	Berufsbildungswerke	52.5333900	13.5416900	Murtzaner Ring	70 - 72	12681	Marzahn - Hellersdorf	teilweise	78944	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78944/
Kirchhofsverwaltung	Friedhöfe	52.4252018	13.2045497	Kirchweg	6	14129	Steglitz - Zehlendorf	teilweise	81589	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81589/
KLIER  in den Gropius Passagen	Friseure	52.4300500	13.4576100	Johannisthaler Chaussee	317	12351	Neukölln	teilweise	94965	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94965/
Landesamt für Bürger- und Ordnungsangelegenheiten - KFZ-Zulassungsbehörde Lichtenberg	Landesämter	52.5406700	13.5074300	Ferdinand-Schultze-Straße	55	13055	Lichtenberg	teilweise	15050	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/15050/
Lézard Cafe und Patiserie	Cafés und Bistros	52.4941400	13.3375200	Bamberger Straße	49	10779	Tempelhof - Schöneberg	teilweise	67513	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/67513/
radio fürstenow	TV, Audio, Telefon (Festnetz)	52.5556311	13.3432234	Müllerstraße	62	13349	Mitte	ja	74312	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/74312/
Rüdiger Weber 	Allgemeinmedizin	52.4668900	13.4685200	Sonnenallee	298	12057	Neukölln	teilweise	70302	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/70302/
Sozialpsychiatrischer Dienst	Bezirksämter	52.4582593	13.3287708	Bergstraße	90	12169	Steglitz - Zehlendorf	teilweise	23737	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/23737/
Svetlana Hude	Frauenheilkunde	52.4789407	13.5244009	Treskowallee	128	10318	Lichtenberg	teilweise	75792	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/75792/
Vivantes - Physiotherapeutische Dienste	Physiotherapie	52.4378819	13.4622296	Rudower Straße	56	12351	Neukölln	teilweise	83998	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83998/
Wohlthat´sche Buchhandlung am Berlin-Carré	Buchhandlungen	52.5222500	13.4074500	Karl-Liebknecht-Straße	13	10178	Mitte	ja	98097	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/98097/
Zahnärztlicher Dienst	Bezirksämter	52.5363000	13.2013300	Carl-Schurz-Straße	17	13597	Spandau	teilweise	74507	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/74507/
"""Berliner Bär""-Apotheke"	Apotheken	52.5056160	13.5127975	Zachertstraße	75	10315	Lichtenberg	ja	280	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/280/
"""brotzeit"";""Bäckereien, Konditoreien"	52.5004100	13.3516900	Kleiststraße	3 - 6	10787	Tempelhof - Schöneberg	teilweise	96452	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/96452/	
"""Jacob Böhme"" Orthopädie-Schuhmacher GmbH - Filiale Berlin-Marzahn"	Orthopädietechniker	52.5551005	13.5619107	Mehrower Allee	24	12687	Marzahn - Hellersdorf	teilweise	76273	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76273/
-Floristik- Stil + Blüte	Blumen/Pflanzen	52.4376400	13.5548800	Wassermannstraße	97	12489	Treptow - Köpenick	ja	39644	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/39644/
.Dietrich-Bonhoeffer-Haus, Wohnheim für Menschen mit Behinderung, (Haus 18) auf dem Gelände der Stephanus-Stiftung Ulmenhof	Pflegeheime/Pflegewohnheime	52.4346500	13.7202900	Grenzbergeweg	38	12589	Treptow - Köpenick	teilweise	92622	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92622/
.radix raumkonzepte möbel	Innenraumausstattungen	52.4850400	13.4401800	Elbestraße	28 - 29	12045	Neukölln	ja	91083	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/91083/
1 PLUS1	Schuhe	52.4665912	13.3281581	Walther-Schreiber-Platz	1	12161	Tempelhof - Schöneberg	ja	88622	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88622/
1.2.3 Textilvertriebs GmbH	Oberbekleidung und Boutique	52.5199800	13.4147500	Grunerstraße	20	10179	Mitte	ja	94185	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94185/
10 Finger - Das Nagelstudio	Kosmetiker	52.5337100	13.6025700	Stollberger Straße	77	12627	Marzahn - Hellersdorf	teilweise	81312	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81312/
1000 kleine Dinge im Victoria-Center	Waren von A-Z	52.5037800	13.4735300	Marktstraße	6	10317	Lichtenberg	teilweise	85622	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/85622/
1a  Sonnenschutz	Jalousien-, Markisen- und Sonnenschutzfachhandlungen	52.5455725	13.5515089	Marzahner Promenade	31f	12679	Marzahn - Hellersdorf	teilweise	78252	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78252/
1Plus1 GmbH	Schuhe	52.5971200	13.3539600	Wilhelmsruher Damm	138 - 140	13439	Reinickendorf	teilweise	97829	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97829/
2 Rad Center am S-Bahnhof Grünau	Fahrräder	52.4133100	13.5717800	Bruno-Taut-Straße	2	12524	Treptow - Köpenick	ja	63452	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/63452/
24/7 SHOP	Waren von A-Z;Zeitungen, Zeitschriften, Tabakwaren;Tabakwaren und Zubehör	52.4697094	13.4426558	Saalestraße	82 - 83	12055	Neukölln	ja	97832	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97832/
2wheels4u - Motorradfachbetrieb	Reparaturen	52.5545500	13.2051900	Askanierring	97	13587	Spandau	ja	76481	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76481/
3 Chirurgen, Rolf Peters-Eckhard, Dr. med. Ralph Lorenz, Dr. med. Gabriele Hermann	Chirurgie	52.5322200	13.1982700	Klosterstraße	34 - 35	13581	Spandau	teilweise	10442	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/10442/
3 Schwestern - Kleine Schwester	Eisdielen	52.5034900	13.4249700	Mariannenplatz	2	10997	Friedrichshain - Kreuzberg	teilweise	90946	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/90946/
3-X Berlin Pro Audio Winfried Rothenberg	Computerverkauf	52.4916700	13.3857600	Hagelberger Straße	4	10965	Friedrichshain - Kreuzberg	ja	82801	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82801/
360° Accessoires	Schmuck und Uhren	52.5199800	13.4147500	Grunerstraße	20	10179	Mitte	ja	66670	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/66670/
3D Schnitt Werbetecnik	Druckereien	52.4796944	13.3460291	Hauptstraße	101	10827	Tempelhof - Schöneberg	ja	93213	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93213/
4 Seniorenwohnungen in der Immanuelkirchstraße 	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97048	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97048/
4 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97065	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97065/
4 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97067	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97067/
4-P-Reinigung - Chemische Reinigung	Reinigungen	52.5013032	13.4239479	Mariannenstraße	51	10997	Friedrichshain - Kreuzberg	ja	90938	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/90938/
44. Allegro Grundschule Schulgebäude I	Grundschulen	52.5035837	13.3629583	Lützowstraße	83 - 85	10785	Mitte	teilweise	96701	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/96701/
4everFITNESS Berlin Hohenschönhausen	Fitnesscenter	52.5614200	13.5034300	Hansastraße	236	13051	Lichtenberg	ja	80893	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80893/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97049	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97049/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97059	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97059/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97060	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97060/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97064	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97064/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97066	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97066/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97068	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97068/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97069	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97069/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97070	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97070/
5 Seniorenwohnungen in der Immanuelkirchstraße	Typenwohnungen	52.5313400	13.4250600	Immanuelkirchstraße	14c	10405	Pankow	ja	97071	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97071/
9 Monate Berlin - Umstandsmode und Stillmode in Berlin	Bekleidung allgemein	52.5511700	13.4110200	Schivelbeiner Straße	10	10439	Pankow	ja	93655	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93655/
9. Grundschule - Hauotmann von Köpenick	Grundschulen	52.4562400	13.5809500	Borgmannstraße	2 - 3	12555	Treptow - Köpenick	teilweise	96871	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/96871/
A & G KfZ Werkstatt	Reparaturen	52.5421800	13.3781500	Gerichtstraße	1	13347	Mitte	ja	82255	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82255/
A & V Spielzeugparadies	Spielwaren	52.4891053	13.4501454	Wildenbruchstraße	52	12435	Treptow - Köpenick	ja	58826	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/58826/
A Cabana	Restaurants und Gaststätten	52.5321649	13.4318469	Hufelandstraße	15	10407	Pankow	teilweise	93714	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93714/
a la turca 	Imbisse	52.5419909	13.4888445	Konrad-Wolf-Straße	101	13055	Lichtenberg	teilweise	39347	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/39347/
A&D Autoservice	Autoreparaturwerkstätten	52.6159609	13.3172132	Berliner Straße	129	13467	Reinickendorf	teilweise	54434	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/54434/
A&F Custom GbR - Autowerkstatt	Autoreparaturwerkstätten	52.5471100	13.5136300	Wollenberger Straße	2	13053	Lichtenberg	teilweise	83137	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83137/
a&r analyse & realize Phytopharm Research	Dienstleistungen von A-Z	52.5273134	13.4792283	Weißenseer Weg	111	10369	Lichtenberg	teilweise	22178	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/22178/
A-Z Berlin Kfz-Sachverständigen GmbH	KfZ Sachverständige	52.4847100	13.4240800	Hermannstraße	11	12049	Neukölln	ja	81701	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81701/
A-Z GmbH	TV, Audio, Telefon (Festnetz)	52.5068300	13.3901100	Rudi-Dutschke-Straße 	15	10969	Friedrichshain - Kreuzberg	ja	95330	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95330/
A. EastSide - Private Arbeitsvermittlung	Arbeitsvermittler	52.5413886	13.6065444	Hellersdorfer Promenade	21	12627	Marzahn - Hellersdorf	teilweise	80793	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80793/
A. Treppens &  Co. Samen GmbH	Baubedarf, Gartenbedarf	52.4396900	13.2767600	Berliner Straße	88	14169	Steglitz - Zehlendorf	ja	85880	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/85880/
A.T.T. Tiedemann-Motorräder	Motorräder und Zubehör	52.4174400	13.1427100	Otto-Erich-Straße	10b	14109	Steglitz - Zehlendorf	ja	93124	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93124/
A.T.U Auto-Teile-Unger GmbH & Co. KG	Autoreparaturwerkstätten	52.4914100	13.3760000	Yorckstraße	57	10965	Friedrichshain - Kreuzberg	ja	87030	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87030/
A.T.U. Auto-Teile-Unger GmbH und Co. KG	PKW-Ersatzteile und Zubehör	52.5533100	13.5485953	Bitterfelder Straße	7	12681	Marzahn - Hellersdorf	ja	69950	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/69950/
A7 - Telemedia Multimediadiscount	Mobiltelefone und Zubehör	52.5273070	13.4781933	Paul-Junius-Straße	70	10369	Lichtenberg	ja	95741	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95741/
A7-Telemedia Multimediadiscount	Mobiltelefone und Zubehör	52.5655066	13.5711725	Wittenberger Straße	80	12689	Marzahn - Hellersdorf	teilweise	89394	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89394/
aarlo-service	Dienstleistungen von A-Z	52.5444600	13.5590900	Alt-Marzahn	25d	12685	Marzahn - Hellersdorf	ja	106322	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/106322/
Aastha	Restaurants und Gaststätten	52.4637105	13.3308061	Feuerbachstraße	31	12163	Steglitz - Zehlendorf	teilweise	94723	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94723/
Aastha - Indisches Restaurant	Restaurants und Gaststätten	52.5168664	13.4792484	Parkaue	35	10367	Lichtenberg	teilweise	88643	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88643/
AB-Lastminute Holliday	Reisebüros, Reiseveranstalter	52.5232780	13.4152880	Alexanderstraße	5	10178	Mitte	ja	83791	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83791/
ABACUS  Apotheke	Apotheken	52.5345700	13.5521600	Fichtelbergstraße	9	12686	Marzahn - Hellersdorf	ja	77810	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/77810/
ABC Blindenwohnstätte in Weißensee gemeinnützige Betriebs GmbH	Seniorenheime	52.5559900	13.4668900	Berliner Allee	193 - 197	13088	Pankow	teilweise	98413	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/98413/
ABC Stick & Druck	Textildruckereien	52.4536942	13.3187652	Wolfensteindamm	2 - 4	12165	Steglitz - Zehlendorf	ja	89660	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89660/
Abdullah Sahan & Dr. med. Peter Velling	Innere Medizin	52.4897000	13.3886100	Bergmannstraße	5 - 7	10961	Friedrichshain - Kreuzberg	teilweise	78712	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78712/
Abenteuerspielplatz MV	Begegnungs- und Freizeitstätten	52.6009691	13.3574326	Senftenberger Ring	23	13435	Reinickendorf	teilweise	89682	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89682/
Abenteuerspielplatz Spirale	Begegnungs- und Freizeitstätten	52.4928900	13.3065000	Westfälische Straße	16a	10709	Charlottenburg - Wilmersdorf	teilweise	51756	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/51756/
ABEX Blechbearbeitungs GmbH	Dienstleistungen von A-Z	52.4835739	13.4481260	Kiehlufer	81 - 83	12059	Neukölln	ja	89789	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89789/
Abgelaufen	Schlüssel- und Sicherungsdienste	52.4999800	13.4178300	Adalbertstraße	97	10999	Friedrichshain - Kreuzberg	ja	82419	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82419/
Abhari ~ Beckmann - Ärztinnen für Frauenheilkunde und Geburtshilfe	Frauenheilkunde	52.5067280	13.3926304	Rudi-Dutschke-Straße 	17	10969	Friedrichshain - Kreuzberg	teilweise	75798	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/75798/
abschliff	Dienstleistungen von A-Z	52.4863500	13.4324200	Tellstraße	4	12045	Neukölln	ja	91354	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/91354/
Absolut Service	Dienstleistungen von A-Z	52.5218300	13.4017400	Garnisionkirchplatz	2	10178	Mitte	ja	79459	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/79459/
Abt. Haushalt - Friedhofsverwaltung	Bezirksämter	52.4663400	13.4830400	Rinkartstraße	13	12437	Treptow - Köpenick	teilweise	87083	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87083/
Abt. Hygiene und Umweltmedizin im Gesundheitsamt	Bezirksämter	52.4572718	13.3254808	Robert-Lück-Straße	5	12169	Steglitz - Zehlendorf	ja	86700	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86700/
Abt.: Gesundheitsamt - Ges Z -	Bezirksämter	52.4458202	13.3791928	Rathausstraße 	27	12105	Tempelhof - Schöneberg	ja	84806	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84806/
Abteilung Amt für Bürgerdienste/Sozialberatung für Erwachsene	Bürgerämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	89028	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89028/
Abteilung Bürgeramt Reinickendorf Ost	Bürgerämter	52.5705333	13.3469615	Teichstraße	 - 65	13407	Reinickendorf	teilweise	53237	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/53237/
Abteilung Bürgerdienste und Ordnungsangelegenheiten/Berlin-Pass	Bürgerämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	89039	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89039/
Abteilung Bürgerdienste und Ordnungsangelegenheiten/Bezirkswahlamt	Bürgerämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	89006	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89006/
Abteilung Bürgerdienste und Ordnungsangelegenheiten/Soziale Wohnhilfe Reinickendorf	Bürgerämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	88995	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88995/
Abteilung Bürgerdienste/Bürgeramt Reinickendorf Ost/Kasse	Bürgerämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	89026	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89026/
Abteilung Garten- und Straßenbauamt und Friedhofsverwaltung	Bezirksämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	ja	41904	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/41904/
Abteilung Kinder- und Jugendgesundheitsdienst	Bezirksämter	52.5711300	13.3476700	Teichstraße	65	13407	Reinickendorf	teilweise	41909	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/41909/
Abteilung Kinder- und Jugendgesundheitsdienst im Gesundheitsamt	Bezirksämter	52.4572718	13.3254808	Robert-Lück-Straße	5	12169	Steglitz - Zehlendorf	ja	86352	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86352/
Abteilung Soziales	Bezirksämter	52.4384214	13.3438852	Leonorenstraße	70	12247	Steglitz - Zehlendorf	teilweise	83860	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83860/
ABW - Anders Bauen & Wohnen- oikoartec GmbH	Dienstleistungen von A-Z	52.4850700	13.4670200	Am Treptower Park	44	12435	Treptow - Köpenick	ja	86689	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86689/
abw-arbeit, bildung, wohnen e.V. Projekt DIALOG	Interessenvertretungen	52.4617800	13.5227500	Plönzeile	4	12459	Treptow - Köpenick	teilweise	64956	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/64956/
ABZ Sozialstation DIE UMALLESKÜMMERKÄFER	Ambulante Pflegedienste	52.4783000	13.4313000	Werbellinstraße	42	12053	Neukölln	teilweise	97586	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97586/
AC Eurogida GmbH	Supermärkte	52.4543800	13.3272900	Albrechtstraße	19	12167	Steglitz - Zehlendorf	ja	95399	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95399/
Achim Schade Tabak-Zeitschriften-Lotto	Zeitungen, Zeitschriften, Tabakwaren	52.6078281	13.4256184	Cunistraße	9	13127	Pankow	ja	87479	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87479/
ACIT - Auto Center in Treptow GmbH	Autohäuser	52.4862597	13.4580661	Kiefholzstraße	394	12435	Treptow - Köpenick	ja	41138	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/41138/
Acom PC Technikcenter GmbH	Computerverkauf	52.4926978	13.3236502	Uhlandstraße	134	10717	Charlottenburg - Wilmersdorf	ja	84414	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84414/
Adams bike shop	Fahrräder	52.4173497	13.4131999	Marienfelder Chaussee	97	12349	Neukölln	teilweise	58163	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/58163/
ADAM'S Restaurant im Opel Center	Restaurants und Gaststätten	52.5189548	13.3888016	Friedrichstraße	94	10117	Mitte	ja	46818	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/46818/
Adebar	Restaurants und Gaststätten	52.5247962	13.4055058	Neue Schönhauser Straße	1	10178	Mitte	teilweise	8439	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/8439/
adidas AG	Sportbekleidung	52.5036811	13.3372441	Tauentzienstraße	15	10789	Charlottenburg - Wilmersdorf	ja	95215	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95215/
adidas Originals Store Berlin	Bekleidung allgemein	52.5245626	13.4075656	Münzstraße	13 - 15	10178	Mitte	ja	49758	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/49758/
